Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - UG (Small),Course Overall - UG (Medium),Course Overall - UG (Large),Course Overall - UG Mean,Course Overall - PG (Small),Course Overall - PG (Medium),Course Overall - PG Mean,Course Overall - Overall,Instructor Overall - UG (Small),Instructor Overall - UG (Medium),Instructor Overall - UG (Large),Instructor Overall - UG Mean,Instructor Overall - PG (Small),Instructor Overall - PG (Medium),Instructor Overall - PG Mean,Instructor Overall - Overall
23-24,FALL,University,-,-,-,1427.0,0.434,3.99,4.04,3.88,3.99,4.64,4.48,4.49,4.14,4.34,4.21,3.96,4.15,4.69,4.55,4.56,4.27
23-24,FALL,School,SBM,-,-,419.0,0.427,4.8,4.06,4.19,4.06,4.63,4.43,4.44,4.24,5.0,4.22,4.21,4.22,4.63,4.49,4.5,4.35
23-24,FALL,Dept,SBM,ACCT,Accounting,56.0,0.436,,3.98,3.76,3.97,4.33,4.44,4.44,4.14,,4.14,3.9,4.12,4.33,4.5,4.5,4.26
23-24,FALL,Dept,SBM,BIBU-SBM,Biotechnology and Business,1.0,0.237,,4.0,,4.0,,,,4.0,,4.0,,4.0,,,,4.0
23-24,FALL,Dept,SBM,ECON,Economics,63.0,0.431,,3.97,4.34,4.02,4.65,4.66,4.65,4.3,,4.08,4.43,4.13,4.7,4.71,4.7,4.38
23-24,FALL,Dept,SBM,ENTR-SBM,Entrepreneurship,2.0,0.274,,3.95,,3.95,,,,3.95,,4.21,,4.21,,,,4.21
23-24,FALL,Dept,SBM,FINA,Finance,59.0,0.498,,4.17,,4.17,5.0,4.56,4.56,4.44,,4.36,,4.36,5.0,4.62,4.63,4.54
23-24,FALL,Dept,SBM,GBUS,Global Business,4.0,0.317,4.8,4.18,,4.26,,,,4.26,5.0,4.42,,4.5,,,,4.5
23-24,FALL,Dept,SBM,ISOM,"Information Systems, Business Statistics and Operations Management",127.0,0.392,,4.04,,4.04,4.52,4.38,4.38,4.23,,4.19,,4.19,4.48,4.45,4.45,4.33
23-24,FALL,Dept,SBM,MIMT,MSc Program in International Management,9.0,0.623,,,,,5.0,4.33,4.34,4.34,,,,,5.0,4.41,4.42,4.42
23-24,FALL,Dept,SBM,MGMT,Management,63.0,0.424,,4.13,,4.13,4.72,4.21,4.24,4.16,,4.35,,4.35,4.72,4.31,4.33,4.34
23-24,FALL,Dept,SBM,MARK,Marketing,35.0,0.427,,4.06,,4.06,4.76,4.12,4.15,4.1,,4.17,,4.17,4.82,4.19,4.22,4.2
23-24,FALL,Dept,SBM,RMBI,Risk Management and Business Intelligence,1.0,0.093,,4.0,,4.0,,,,4.0,,4.0,,4.0,,,,4.0
23-24,FALL,Dept,SBM,WBBA,SF Program in World Business,1.0,0.731,,4.37,,4.37,,,,4.37,,4.2,,4.2,,,,4.2
23-24,FALL,Dept,SBM,SBMT,School of Business and Management,4.0,0.44,,,,,,4.25,4.25,4.25,,,,,,4.28,4.28,4.28
23-24,FALL,School,SENG,-,-,218.0,0.375,4.09,4.04,3.97,4.03,4.67,4.4,4.47,4.09,4.22,4.25,4.06,4.19,4.72,4.47,4.53,4.24
23-24,FALL,Dept,SENG,CENG,Chemical and Biological Engineering,20.0,0.434,3.42,3.92,3.4,3.75,4.71,4.25,4.33,3.83,3.5,4.09,3.51,3.9,4.86,4.25,4.32,3.98
23-24,FALL,Dept,SENG,CIVL,Civil and Environmental Engineering,28.0,0.315,4.27,4.16,4.02,4.07,4.75,4.63,4.69,4.14,4.47,4.27,4.09,4.13,4.72,4.71,4.72,4.19
23-24,FALL,Dept,SENG,COMP,Computer Science and Engineering,72.0,0.384,4.17,4.07,4.21,4.07,4.57,4.29,4.3,4.09,4.0,4.34,4.38,4.34,4.57,4.41,4.42,4.35
23-24,FALL,Dept,SENG,ELEC,Electronic and Computer Engineering,42.0,0.391,4.47,3.82,4.13,4.01,4.68,4.58,4.62,4.15,4.56,3.95,4.22,4.12,4.73,4.57,4.62,4.26
23-24,FALL,Dept,SENG,ENEG,Energy Technology,3.0,0.397,4.29,4.4,,4.35,4.5,,4.5,4.39,4.43,4.6,,4.5,4.83,,4.83,4.57
23-24,FALL,Dept,SENG,ENTR-SENG,Entrepreneurship,2.0,0.274,,3.95,,3.95,,,,3.95,,4.21,,4.21,,,,4.21
23-24,FALL,Dept,SENG,IEDA,Industrial Engineering and Decision Analytics,17.0,0.287,4.5,4.13,3.87,4.11,4.5,3.81,3.85,4.07,4.56,4.25,4.11,4.25,4.5,3.97,4.0,4.21
23-24,FALL,Dept,SENG,MECH,Mechanical Engineering,28.0,0.412,3.89,4.13,3.48,3.95,4.56,4.54,4.55,4.04,3.98,4.27,3.59,4.07,4.68,4.56,4.59,4.16
23-24,FALL,Dept,SENG,ENGG,School of Engineering,6.0,0.472,4.17,4.09,,4.1,,4.44,4.44,4.15,4.25,4.12,,4.13,,4.56,4.56,4.17
23-24,FALL,School,SHSS,-,-,102.0,0.426,4.33,4.1,4.15,4.13,4.69,4.55,4.58,4.27,4.49,4.19,4.32,4.26,4.71,4.59,4.61,4.39
23-24,FALL,Dept,SHSS,HUMA,Humanities,43.0,0.393,4.28,4.05,4.16,4.1,4.74,4.86,4.78,4.18,4.45,4.14,4.39,4.24,4.79,4.92,4.83,4.31
23-24,FALL,Dept,SHSS,HMMA,MA Program in Chinese Culture,1.0,0.712,,,,,,4.4,4.4,4.4,,,,,,4.54,4.54,4.54
23-24,FALL,Dept,SHSS,MGCS,MSc Program in Global China Studies,7.0,0.738,,,,,4.38,4.66,4.63,4.63,,,,,4.25,4.76,4.71,4.71
23-24,FALL,Dept,SHSS,MILE,MSc Program in International Language Education,6.0,0.916,,,,,,4.49,4.49,4.49,,,,,,4.56,4.56,4.56
23-24,FALL,Dept,SHSS,MASS,Master of Arts in Social Science,7.0,0.764,,,,,,4.5,4.5,4.5,,,,,,4.53,4.53,4.53
23-24,FALL,Dept,SHSS,SOSC,Social Science,38.0,0.352,4.54,4.17,4.14,4.16,4.72,,4.72,4.19,4.69,4.28,4.29,4.29,4.74,,4.74,4.31
23-24,FALL,School,SSCI,-,-,233.0,0.406,4.34,3.96,3.77,3.85,4.43,4.59,4.55,3.98,4.45,4.1,3.85,3.94,4.54,4.6,4.58,4.07
23-24,FALL,Dept,SSCI,CHMS,Analytical Chemistry,4.0,0.437,,,,,,4.57,4.57,4.57,,,,,,4.61,4.61,4.61
23-24,FALL,Dept,SSCI,BIBU-SSCI,Biotechnology and Business,1.0,0.237,,4.0,,4.0,,,,4.0,,4.0,,4.0,,,,4.0
23-24,FALL,Dept,SSCI,CHEM,Chemistry,38.0,0.464,4.43,4.16,3.72,3.94,4.38,4.81,4.68,3.98,4.6,4.23,3.7,3.93,4.5,4.89,4.73,3.96
