Academic Year,Term,Level of Statistics,School,Department Code,Department Name,No. of Sections Evaluated,Response Rate,Course Overall - UG (Small),Course Overall - UG (Medium),Course Overall - UG (Large),Course Overall - UG Mean,Course Overall - PG (Small),Course Overall - PG (Medium),Course Overall - PG Mean,Course Overall - Overall,Instructor Overall - UG (Small),Instructor Overall - UG (Medium),Instructor Overall - UG (Large),Instructor Overall - UG Mean,Instructor Overall - PG (Small),Instructor Overall - PG (Medium),Instructor Overall - PG Mean,Instructor Overall - Overall
25-26,Fall,University,-,-,-,1676.0,0.46,3.97,4.06,4.01,4.04,4.54,4.53,4.53,4.23,4.33,4.22,4.09,4.19,4.6,4.63,4.62,4.36
25-26,Fall,School,SBM,-,-,493.0,0.436,4.14,4.05,3.91,4.05,4.36,4.47,4.45,4.26,4.39,4.2,4.01,4.2,4.41,4.56,4.54,4.37
25-26,Fall,Department,SBM,ACCT,Accounting,59.0,0.413,-,4.05,3.83,4.04,4.73,4.63,4.63,4.24,-,4.19,3.88,4.17,4.82,4.7,4.7,4.35
25-26,Fall,Department,SBM,ECON,Economics,71.0,0.439,4.78,4.01,-,4.03,4.51,4.72,4.67,4.32,4.83,4.14,-,4.16,4.54,4.76,4.72,4.42
25-26,Fall,Department,SBM,FOFB,Family office and Family Business,9.0,0.791,-,-,-,-,4.56,4.04,4.23,4.23,-,-,-,-,4.72,4.27,4.41,4.41
25-26,Fall,Department,SBM,FINA,Finance,70.0,0.441,-,4.01,4,4.01,4.69,4.65,4.65,4.43,-,4.09,4.28,4.1,4.82,4.74,4.75,4.52
25-26,Fall,Department,SBM,GBUS,Global Business,4.0,0.386,-,4.27,-,4.27,-,-,-,4.27,-,4.46,-,4.46,-,-,-,4.46
25-26,Fall,Department,SBM,ISOM,"Information Systems, Business Statistics and Operations Management",150.0,0.408,4.06,4.07,-,4.07,4.13,4.39,4.35,4.23,4.31,4.21,-,4.21,4.14,4.5,4.44,4.34
25-26,Fall,Department,SBM,MGMT,Management,75.0,0.405,3.74,4.01,-,4,4.41,4.33,4.34,4.08,4.13,4.22,-,4.21,4.72,4.44,4.46,4.27
25-26,Fall,Department,SBM,MARK,Marketing,44.0,0.597,4.17,4.17,-,4.17,4.18,4.2,4.19,4.19,4.41,4.28,-,4.3,4.34,4.3,4.31,4.3
25-26,Fall,Department,SBM,MIMT,MSc Program in International Management,12.0,0.507,-,-,-,-,4.08,4.28,4.27,4.27,-,-,-,-,4.54,4.47,4.47,4.47
25-26,Fall,Department,SBM,RMBI,Risk Management and Business Intelligence,4.0,0.295,3.86,4.43,-,4.29,-,-,-,4.29,4.29,4.52,-,4.46,-,-,-,4.46
25-26,Fall,Department,SBM,SBMT,School of Business and Management,3.0,0.378,-,-,-,-,-,4.6,4.6,4.6,-,-,-,-,-,4.64,4.64,4.64
25-26,Fall,Department,SBM,WBBA,SF Program in World Business,1.0,0.788,-,4.35,-,4.35,-,-,-,4.35,-,4.62,-,4.62,-,-,-,4.62
25-26,Fall,School,SENG,-,-,349.0,0.439,4.24,4.07,3.98,4.04,4.65,4.61,4.6,4.3,4.38,4.23,4.07,4.18,4.72,4.7,4.69,4.4
25-26,Fall,Department,SENG,ARIN, MSc in Artificial Intelligence ,7.0,0.552,-,-,-,-,-,4.37,4.27,4.27,-,-,-,-,-,4.58,4.45,4.45
25-26,Fall,Department,SENG,MAIE, MSc in Artificial Intelligence and Entrepreneurship ,7.0,0.67,-,-,-,-,-,4.39,4.39,4.39,-,-,-,-,-,4.58,4.58,4.58
25-26,Fall,Department,SENG,CENG,Chemical and Biological Engineering,25.0,0.559,4.05,3.89,3.96,3.92,4.78,4.5,4.55,4.05,4.29,4.06,4.14,4.1,4.83,4.61,4.65,4.21
25-26,Fall,Department,SENG,CIVL,Civil and Environmental Engineering,30.0,0.362,4.45,3.92,3.74,3.81,4.58,4.76,4.71,3.94,4.46,4.04,3.92,3.97,4.73,4.78,4.77,4.06
25-26,Fall,Department,SENG,CIEM,Civil Infrastructural Engineering and Management,10.0,0.351,-,-,-,-,4.22,4.42,4.4,4.4,-,-,-,-,4.44,4.47,4.47,4.47
25-26,Fall,Department,SENG,COMP,Computer Science and Engineering,76.0,0.397,4.25,4.11,4.22,4.14,4.92,4.53,4.6,4.2,4.38,4.35,4.41,4.37,4.92,4.64,4.69,4.41
25-26,Fall,Department,SENG,ELEC,Electronic and Computer Engineering,46.0,0.398,4.46,3.97,4.11,4.07,4.73,4.52,4.58,4.18,4.61,4.04,4.11,4.09,4.79,4.61,4.66,4.23
25-26,Fall,Department,SENG,ENEG,Energy Technology,4.0,0.644,4.1,-,-,4.1,4.44,-,4.44,4.26,4.15,-,-,4.15,4.5,-,4.5,4.32
25-26,Fall,Department,SENG,EEMT,Engineering Enterprise Management,5.0,0.529,-,-,-,-,-,4.73,4.73,4.73,-,-,-,-,-,4.81,4.81,4.81
25-26,Fall,Department,SENG,IEDA,Industrial Engineering and Decision Analytics,27.0,0.331,4.18,4.11,3.83,4.06,-,4.5,4.5,4.08,4.37,4.2,3.83,4.15,-,4.77,4.77,4.18
25-26,Fall,Department,SENG,CSIT,Information Technology,8.0,0.392,-,-,-,-,5,4.62,4.66,4.66,-,-,-,-,5,4.76,4.79,4.79
25-26,Fall,Department,SENG,IBTM,Intelligent Building Technology and Management,6.0,0.622,-,-,-,-,-,4.67,4.67,4.67,-,-,-,-,-,4.72,4.72,4.72
25-26,Fall,Department,SENG,MECH,Mechanical Engineering,28.0,0.396,4.18,4.27,3.76,4.04,4.6,4.71,4.67,4.17,4.41,4.36,3.86,4.14,4.6,4.78,4.71,4.26
25-26,Fall,Department,SENG,BEHI,MSc in Biomolecular Engineering and Health Informatics,5.0,0.656,-,-,-,-,-,4.48,4.48,4.48,-,-,-,-,-,4.6,4.6,4.6
25-26,Fall,Department,SENG,MCEE,MSc in Chemical and Energy Engineering,9.0,0.661,-,-,-,-,-,4.76,4.76,4.76,-,-,-,-,-,4.83,4.81,4.81
25-26,Fall,Department,SENG,ENGG,School of Engineering,7.0,0.513,4,3.95,-,3.95,-,4.5,4.5,4.06,3.8,4.13,-,4.12,-,4.53,4.53,4.16
