Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - UG (Small),Course Overall - UG (Medium),Course Overall - UG (Large),Course Overall - UG Mean,Course Overall - PG (Small),Course Overall - PG (Medium),Course Overall - PG Mean,Course Overall - Overall,Instructor Overall - UG (Small),Instructor Overall - UG (Medium),Instructor Overall - UG (Large),Instructor Overall - UG Mean,Instructor Overall - PG (Small),Instructor Overall - PG (Medium),Instructor Overall - PG Mean,Instructor Overall - Overall
18-19,SPRING,University,-,-,-,1390.0,0.489,73.66,73.66,69.58,72.33,90.12,82.62,83.76,74.87,82.95,78.52,73.5,77.79,93.0,86.11,87.42,79.89
18-19,SPRING,School,SBM,-,-,375.0,0.495,80.14,72.87,70.32,72.59,88.02,80.44,80.99,75.76,88.36,78.46,76.24,78.26,89.64,83.94,84.36,80.54
18-19,SPRING,Dept,SBM,ACCT,Accounting,49.0,0.483,93.75,74.25,,74.35,81.82,87.11,86.76,79.02,93.75,77.87,,77.95,84.09,89.47,89.12,82.16
18-19,SPRING,Dept,SBM,ECON,Economics,55.0,0.504,81.52,70.76,71.48,71.23,91.45,90.2,90.4,78.22,86.96,76.51,74.25,76.26,91.78,92.25,92.17,82.06
18-19,SPRING,Dept,SBM,ENTR-SBM,Entrepreneurship,2.0,0.762,76.56,,,76.56,,,,76.56,87.5,,,87.5,,,,87.5
18-19,SPRING,Dept,SBM,FINA,Finance,60.0,0.507,,69.38,73.0,70.79,81.79,73.16,73.87,72.44,,71.8,76.48,73.62,83.21,76.68,77.21,75.55
18-19,SPRING,Dept,SBM,GBUS,Global Business,5.0,0.529,,80.86,,80.86,,,,80.86,,85.24,,85.24,,,,85.24
18-19,SPRING,Dept,SBM,ISOM,"Information Systems, Business Statistics and Operations Management",94.0,0.467,85.29,73.55,67.68,72.21,88.33,78.04,78.22,74.38,94.12,77.86,77.12,77.86,91.67,82.22,82.39,79.49
18-19,SPRING,Dept,SBM,MIMT,MSc Program in International Management,8.0,0.886,,,,,93.75,77.58,78.66,78.66,,,,,96.88,86.49,87.5,87.5
18-19,SPRING,Dept,SBM,MGMT,Management,66.0,0.498,70.0,71.39,,71.38,92.16,83.41,84.19,75.96,80.0,80.79,,80.79,94.61,86.17,86.92,82.98
18-19,SPRING,Dept,SBM,MARK,Marketing,35.0,0.488,,75.4,,75.4,98.21,86.39,87.83,77.18,,81.11,,81.11,100.0,88.86,90.22,82.42
18-19,SPRING,Dept,SBM,WBBA,SF Program in World Business,1.0,0.967,,65.34,,65.34,,,,65.34,,78.69,,78.69,,,,78.69
18-19,SPRING,Dept,SBM,SBMT,School of Business and Management,3.0,0.292,75.0,,,75.0,93.75,69.64,72.66,72.86,91.67,,,91.67,100.0,72.32,75.78,77.14
18-19,SPRING,School,SENG,-,-,244.0,0.411,82.42,76.17,71.2,74.57,91.64,84.95,84.79,75.89,85.99,81.1,75.04,78.91,94.07,88.63,90.86,80.25
18-19,SPRING,Dept,SENG,BIEN,Bioengineering,5.0,0.619,89.66,83.33,,85.71,,85.71,85.71,85.71,89.66,89.8,,89.74,,90.48,90.48,89.9
18-19,SPRING,Dept,SENG,CENG,Chemical and Biological Engineering,19.0,0.441,76.56,70.64,74.24,71.84,85.0,91.67,88.33,73.45,91.67,77.76,76.89,77.7,88.33,98.33,93.33,79.38
18-19,SPRING,Dept,SENG,CIVL,Civil and Environmental Engineering,37.0,0.382,84.64,74.34,68.37,70.45,91.3,80.32,84.97,72.05,87.14,77.24,71.47,73.48,93.48,86.64,89.96,75.09
