Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - UG (Small),Course Overall - UG (Medium),Course Overall - UG (Large),Course Overall - UG Mean,Course Overall - PG (Small),Course Overall - PG (Medium),Course Overall - PG Mean,Course Overall - Overall,Instructor Overall - UG (Small),Instructor Overall - UG (Medium),Instructor Overall - UG (Large),Instructor Overall - UG Mean,Instructor Overall - PG (Small),Instructor Overall - PG (Medium),Instructor Overall - PG Mean,Instructor Overall - Overall
18-19,SUMMER,University,-,-,-,112.0,0.416,88.4,81.62,79.33,82.56,95.35,87.88,87.78,85.04,91.85,86.0,82.43,86.45,97.09,91.07,90.75,88.55
18-19,SUMMER,School,SBM,-,-,39.0,0.459,86.25,84.05,,84.3,95.63,87.73,87.66,87.17,93.75,86.02,,86.92,97.5,90.88,90.59,90.06
18-19,SUMMER,Dept,SBM,ACCT,Accounting,2.0,0.563,,95.45,,95.45,96.43,,96.43,95.83,,100.0,,100.0,100.0,,100.0,100.0
18-19,SUMMER,Dept,SBM,ECON,Economics,1.0,0.218,,,,,,100.0,100.0,100.0,,,,,,100.0,100.0,100.0
18-19,SUMMER,Dept,SBM,FINA,Finance,4.0,0.552,,,,,,75.36,75.36,75.36,,,,,,80.07,80.07,80.07
18-19,SUMMER,Dept,SBM,ISOM,"Information Systems, Business Statistics and Operations Management",9.0,0.346,86.25,80.09,,81.76,98.33,90.38,94.64,85.29,93.75,81.48,,84.8,100.0,94.23,97.32,88.24
18-19,SUMMER,Dept,SBM,MIMT,MSc Program in International Management,2.0,0.82,,,,,,91.46,91.46,91.46,,,,,,95.43,95.43,95.43
18-19,SUMMER,Dept,SBM,MGMT,Management,16.0,0.476,,82.38,,82.38,91.67,86.87,86.7,86.35,,83.61,,83.61,93.33,90.66,90.0,89.49
18-19,SUMMER,Dept,SBM,MARK,Marketing,2.0,0.763,,91.35,,91.35,100.0,,100.0,92.24,,95.19,,95.19,100.0,,100.0,95.69
18-19,SUMMER,Dept,SBM,SBMT,School of Business and Management,3.0,0.332,,,,,,94.23,94.23,94.23,,,,,,93.59,93.59,93.59
18-19,SUMMER,School,SENG,-,-,16.0,0.388,88.57,82.69,86.84,84.57,100.0,,100.0,84.64,85.0,88.14,91.67,88.68,100.0,,100.0,88.74
18-19,SUMMER,Dept,SENG,CENG,Chemical and Biological Engineering,1.0,0.386,,89.77,,89.77,,,,89.77,,92.05,,92.05,,,,92.05
18-19,SUMMER,Dept,SENG,CIVL,Civil and Environmental Engineering,4.0,0.332,66.67,,86.84,85.83,100.0,,100.0,86.07,58.33,,91.67,90.0,100.0,,100.0,90.16
