Academic Year,Term,Level of Statistics,School,Department Code,Department Name,Number of Sections Evaluated,Response Rate,Course Overall - Mean,Course Overall - SD,Instructor Overall - Mean,Instructor Overall - SD
19-20,WINTER,University,-,-,-,48.0,0.444,83.9,20.9,88.4,18
19-20,WINTER,School,SBM,-,-,33.0,0.426,84.3,21.3,88.2,18.3
19-20,WINTER,Dept,SBM,ECON,Economics,3.0,0.414,91.8,17.8,93.2,16.6
19-20,WINTER,Dept,SBM,ISOM,"Information Systems, Business Statistics and Operations Management",12.0,0.405,79.0,21.1,83.1,20.8
19-20,WINTER,Dept,SBM,MGMT,Management,17.0,0.539,88.7,15.3,92.7,13.1
19-20,WINTER,Dept,SBM,SBMT,School of Business and Management,1.0,0.332,82.5,29.9,88.1,18.9
19-20,WINTER,School,SENG,-,-,5.0,0.75,78.9,18.5,91.7,12.1
19-20,WINTER,Dept,SENG,COMP,Computer Science and Engineering,4.0,0.405,76.3,18.7,-,-
19-20,WINTER,Dept,SENG,ENGG,School of Engineering,1.0,0.75,90.3,12.5,91.7,12.1
19-20,WINTER,School,SHSS,-,-,2.0,0.565,95.2,10.0,96.2,9.2
19-20,WINTER,Dept,SHSS,MGCS,MSc Program in Global China Studies,2.0,0.565,95.2,10.0,96.2,9.2
19-20,WINTER,School,SSCI,-,-,1.0,1.0,100.0,0.0,100,0
19-20,WINTER,Dept,SSCI,MATH,Mathematics,1.0,1.0,100.0,0.0,100,0
19-20,WINTER,School,LANG/LABU/LAGR,-,-,5.0,0.582,81.1,18.6,86.7,14.7
19-20,WINTER,Dept,LANG/LABU/LAGR,LANG,Language,5.0,0.582,81.1,18.6,86.7,14.7
19-20,WINTER,School,IPO,-,-,2.0,0.857,85.4,29.1,85.4,29.1
19-20,WINTER,Dept,IPO,TEMG,Technology and Management,2.0,0.857,85.4,29.1,85.4,29.1
,,,,,,,,,,,
,,,,,,,,,,,
"Note 1: The response rate shown is the response rate for the instructor/course overall question, whichever is the higher. It is calculated as the number of responses received for the question divided by the maximum possible number of responses.",,,,,,,,,,,
,,,,,,,,,,,
Report prepared by OIR,,,,,,,,,,,
2020-02-20 00:00:00,,,,,,,,,,,
